Attribute,Attribute Value,Mean Score,,,p value
,,G1,G2,G3,
age,18,10.72,10.134,9.549,0.01245
age,not 18,10.958,10.866,10.642,
Medu,4,11.908,11.847,11.763,0.016003333
Medu,not 4,10.413,10.152,9.746,
Fedu,4,11.927,11.562,11.365,0.003503333
Fedu,not 4,10.582,10.441,10.11,
Mjob,teacher,11.534,11.224,11.052,0.034986667
Mjob,not teacher,10.801,10.626,10.306,
Fjob,teacher,12.897,12,11.966,0.0363
Fjob,not teacher,10.751,10.612,10.292,
reason,course,10.6,10.172,9.821,0.027996667
reason,not course,11.088,11.028,10.76,
failures,0,11.468,11.349,11.253,3.33E-06
failures,1,9.56,9.26,8.12,0.01239
schoolsup,yes,9.078,9.569,9.431,8.33E-05
schoolsup,no,11.18,10.884,10.561,0.00013
paid,no,10.79,10.35,9.986,0.018003333
paid,yes,11.05,11.144,10.923,0.018166667
higher,yes,11.045,10.869,10.608,0.010473333
higher,no,8.35,7.8,6.8,
goout,2,11.369,11.456,11.194,0.012246667
goout,not 2,10.747,10.452,10.14,
absences,1,10.675,10.277,10.373,0.00374
absences,2,10.971,10.83,10.426,
